-7542 -36050 23.56
-7541 -36050 23.57
-7540 -36050 23.56
-7539 -36050 25.17
-7538 -36050 27.1
-7537 -36050 27.64
-7536 -36050 27.47
-7535 -36050 27.27
-7534 -36050 27.31
-7533 -36050 27.66
-7532 -36050 27.88
-7531 -36050 27.93
-7530 -36050 27.9
-7529 -36050 27.93
-7528 -36050 27.94
-7527 -36050 27.94
-7526 -36050 27.91
-7525 -36050 27.93
-7524 -36050 28.11
-7523 -36050 28.36
-7522 -36050 27.6
-7521 -36050 24.61
-7520 -36050 24.36
-7519 -36050 24.28
-7518 -36050 23.99
-7517 -36050 24.24
-7516 -36050 24.37
-7515 -36050 24.34
-7514 -36050 24.44
-7513 -36050 24.47
-7512 -36050 24.51
-7511 -36050 24.9
-7510 -36050 26.63
-7509 -36050 29.01
-7508 -36050 28.96
-7507 -36050 28.92
-7506 -36050 28.88
-7505 -36050 29.03
-7504 -36050 29.3
-7503 -36050 29.38
-7502 -36050 29.38
-7501 -36050 29.21
-7500 -36050 28.97
-7499 -36050 29.34
-7498 -36050 30.18
-7497 -36050 29.14
-7496 -36050 27.56
-7495 -36050 25.9
-7494 -36050 23.64
-7493 -36050 23.09
-7492 -36050 23.58
-7491 -36050 23.64
-7490 -36050 23.26
-7489 -36050 23.39
-7488 -36050 23.4
-7487 -36050 23.31
-7486 -36050 23.14
-7485 -36050 23.28
-7484 -36050 23.29
-7483 -36050 23.24
-7482 -36050 23.34
-7481 -36050 23.29
-7480 -36050 23.37
-7479 -36050 23.67
-7478 -36050 25.84
-7477 -36050 27.71
-7476 -36050 28.32
-7475 -36050 28.49
-7474 -36050 26.34
-7473 -36050 25.24
-7472 -36050 25.2
-7471 -36050 25.01
-7470 -36050 24.57
-7469 -36050 23.3
-7468 -36050 24.9
-7467 -36050 27.89
-7466 -36050 28.61
-7465 -36050 29.04
-7464 -36050 27.66
-7463 -36050 26.57
-7462 -36050 25.04
-7461 -36050 24.74
-7460 -36050 25.11
-7459 -36050 25.12
-7458 -36050 24.17
-7457 -36050 23.24
-7456 -36050 22.77
-7455 -36050 22.44
-7454 -36050 22.06
-7453 -36050 21.79
-7452 -36050 21.03
-7451 -36050 20.38
-7450 -36050 20.27
-7449 -36050 19.63
-7448 -36050 19.24
-7447 -36050 19.02
-7446 -36050 18.6
-7445 -36050 16.57
-7444 -36050 13.51
-7443 -36050 12.97
-7442 -36050 12.89
-7441 -36050 12.96
-7440 -36050 13
-7439 -36050 12.99
-7438 -36050 12.9
-7437 -36050 12.86
-7436 -36050 12.83
-7435 -36050 12.84
-7434 -36050 12.89
-7433 -36050 12.86
-7432 -36050 12.83
-7431 -36050 12.74
-7430 -36050 12.74
-7429 -36050 12.79
-7428 -36050 12.94
-7427 -36050 13.24
-7426 -36050 13.03
-7425 -36050 12.64
-7424 -36050 12.48
-7423 -36050 12.6
-7422 -36050 12.34
-7421 -36050 11.87
-7420 -36050 12.29
-7419 -36050 12.19
-7418 -36050 11.69
-7417 -36050 11.57
-7416 -36050 11.84
-7415 -36050 12.12
-7414 -36050 11.44
-7413 -36050 11.14
-7412 -36050 11.18
